img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
train_00000.jpeg,2448,3264,1301,1546,1641,2096,albopictus
train_00001.jpeg,3024,4032,900,1897,1950,2990,albopictus
train_00002.jpeg,768,1024,220,58,659,808,albopictus
train_00003.jpeg,3456,4608,1169,2364,1586,2826,albopictus
train_00004.jpeg,1024,1365,129,231,697,1007,culex
train_00005.jpeg,1152,2560,198,798,954,1351,albopictus
train_00006.jpeg,3072,4080,1104,1030,2458,2911,anopheles
train_00007.jpeg,2128,4608,248,728,2049,1992,albopictus
train_00008.jpeg,4000,2250,1768,899,2414,1591,albopictus
train_00009.jpeg,768,1024,180,140,683,744,albopictus
train_00010.jpeg,3168,4224,630,1516,2560,3087,albopictus
train_00011.jpeg,768,1024,186,209,562,669,culex
train_00012.jpeg,3024,4032,131,1420,2146,2814,culex
train_00013.jpeg,768,1024,272,628,374,735,culex
train_00014.jpeg,1800,4000,727,1561,1005,1757,culex
train_00015.jpeg,1024,1024,347,306,623,643,albopictus
train_00016.jpeg,924,697,236,172,592,528,albopictus
train_00017.jpeg,768,1024,284,461,453,698,culex
train_00018.jpeg,1024,1820,576,754,801,1143,culiseta
train_00019.jpeg,1627,2081,672,644,1222,1194,culex
train_00020.jpeg,4032,2268,2227,786,2600,1458,albopictus
train_00021.jpeg,3000,4000,1075,1355,1854,2111,albopictus
train_00022.jpeg,3024,4032,949,796,1857,1633,culiseta
train_00023.jpeg,1024,1365,316,646,588,901,culex
train_00024.jpeg,3000,4000,824,1001,1748,2063,culex
train_00025.jpeg,996,995,427,333,628,520,albopictus
train_00026.jpeg,828,1792,342,760,565,1068,culex
train_00027.jpeg,768,1024,276,457,439,675,culex
train_00028.jpeg,1024,1365,432,576,594,734,culex
train_00029.jpeg,768,1024,161,251,474,725,japonicus/koreicus
train_00030.jpeg,1024,1365,370,688,503,841,culex
train_00031.jpeg,3024,4032,1196,1162,1803,2060,culex
train_00032.jpeg,3024,4032,410,767,2233,2464,japonicus/koreicus
train_00033.jpeg,3024,4032,869,1017,2019,2588,japonicus/koreicus
train_00034.jpeg,3840,5120,1379,965,3603,3155,albopictus
train_00035.jpeg,4032,3024,1886,1375,2231,1653,albopictus
train_00036.jpeg,2448,3264,546,1233,1487,2302,albopictus
train_00037.jpeg,768,1024,203,341,605,778,culex
train_00038.jpeg,1024,1365,210,62,926,1155,culex
train_00039.jpeg,2992,4000,204,1917,2164,3891,albopictus
train_00040.jpeg,804,780,273,264,556,472,albopictus
train_00041.jpeg,2160,3840,796,1601,1519,2508,albopictus
train_00042.jpeg,1024,768,539,209,649,324,albopictus
train_00043.jpeg,594,890,64,307,344,518,albopictus
train_00044.jpeg,2448,3264,897,1298,1337,1616,albopictus
train_00045.jpeg,1024,1024,465,380,699,610,culex
train_00046.jpeg,363,422,53,48,314,315,culex
train_00047.jpeg,271,362,39,9,235,329,albopictus
train_00048.jpeg,2250,4000,908,1759,1292,2260,albopictus
train_00049.jpeg,1024,1820,37,414,515,884,culex
train_00050.jpeg,3024,4032,916,1060,2112,1881,culex
train_00051.jpeg,4032,1908,2140,62,3393,920,culex
train_00052.jpeg,3024,4032,1193,1344,2130,2063,culex
train_00053.jpeg,1024,1024,212,34,823,825,culex
train_00054.jpeg,1024,1365,255,404,470,638,culex
train_00055.jpeg,1024,1365,304,417,788,850,culex
train_00056.jpeg,3024,4032,879,1859,1419,2945,culex
train_00057.jpeg,768,1024,148,40,768,940,culiseta
train_00058.jpeg,2268,4032,702,1640,1698,2345,culex
train_00059.jpeg,768,1024,288,476,400,590,culex
train_00060.jpeg,1024,1365,131,482,536,711,albopictus
train_00061.jpeg,3024,4032,1508,1753,2129,2305,culex
train_00062.jpeg,3024,4032,1279,1702,1885,2311,culex
train_00063.jpeg,4032,3024,2249,1253,2464,1589,culex
train_00064.jpeg,4608,3456,1664,1740,2352,2253,albopictus
train_00065.jpeg,3120,4160,1307,1822,1834,2436,albopictus
train_00066.jpeg,2160,2880,677,1623,1016,1995,albopictus
train_00067.jpeg,613,573,205,112,438,420,albopictus
train_00068.jpeg,3024,4032,1199,1986,1795,2466,culex
train_00069.jpeg,2448,3264,811,1326,1751,2504,albopictus
train_00070.jpeg,1600,1200,649,259,1115,819,culiseta
train_00071.jpeg,3024,4032,931,2208,1050,2335,albopictus
train_00072.jpeg,461,346,170,121,269,197,albopictus
train_00073.jpeg,2448,3264,759,918,1799,1967,albopictus
train_00074.jpeg,1024,1365,520,700,640,908,culex
train_00075.jpeg,1365,1024,246,299,1051,894,culiseta
train_00076.jpeg,768,1024,228,370,540,850,culex
train_00077.jpeg,2268,4032,539,1611,1264,2358,culex
train_00078.jpeg,1024,1365,290,511,561,993,culex
train_00079.jpeg,2241,1734,613,625,1342,1274,albopictus
train_00080.jpeg,2129,1024,620,299,1191,730,albopictus
train_00081.jpeg,2448,3264,659,1005,1459,1800,albopictus
train_00082.jpeg,2322,4128,1002,1772,1614,2542,culex
train_00083.jpeg,2627,2370,227,316,2287,1955,albopictus
train_00084.jpeg,3024,4032,1052,1282,1638,1952,albopictus
train_00085.jpeg,768,1024,304,370,386,499,culex
train_00086.jpeg,2146,2861,955,1766,1351,2303,culex
train_00087.jpeg,1200,1600,278,574,802,1276,culex
train_00088.jpeg,5312,2988,2983,1187,3610,2085,japonicus/koreicus
train_00089.jpeg,3024,4032,954,1784,1456,2337,albopictus
train_00090.jpeg,3000,4000,692,1699,1769,2732,culex
train_00091.jpeg,3024,4032,973,500,2093,2299,culiseta
train_00092.jpeg,768,1024,212,507,448,660,culex
train_00093.jpeg,1200,1600,209,402,1015,1091,japonicus/koreicus
train_00094.jpeg,768,1024,300,520,395,642,culex
train_00095.jpeg,2128,4608,259,535,1964,2920,albopictus
train_00096.jpeg,3968,2240,1673,1065,2765,1728,albopictus
train_00097.jpeg,4608,3456,1220,167,3308,2164,culiseta
train_00098.jpeg,826,1051,210,321,564,708,albopictus
train_00099.jpeg,768,1024,308,537,487,674,albopictus
train_00100.jpeg,5312,3984,2974,1856,3421,2242,albopictus
train_00101.jpeg,768,1024,225,278,592,650,culex
train_00102.jpeg,1816,4032,668,1884,977,2254,culex
train_00103.jpeg,1024,1365,479,585,754,853,culex
train_00104.jpeg,768,1024,302,540,422,646,albopictus
train_00105.jpeg,3024,4032,116,1717,1719,2854,albopictus
train_00106.jpeg,1094,1675,232,443,863,1335,albopictus
train_00107.jpeg,768,1024,151,151,664,828,culex
train_00108.jpeg,1024,1365,345,277,640,590,culex
train_00109.jpeg,1600,1200,398,259,1512,1011,culex
train_00110.jpeg,768,1024,146,368,656,907,albopictus
train_00111.jpeg,750,1334,134,389,529,816,albopictus
train_00112.jpeg,3024,4032,188,879,2315,3004,japonicus/koreicus
train_00113.jpeg,1024,1365,381,330,584,617,culex
train_00114.jpeg,1600,719,737,123,1012,364,culex
train_00115.jpeg,1908,4032,392,1534,1120,2463,culex
train_00116.jpeg,680,906,151,0,574,767,albopictus
train_00117.jpeg,1356,1513,167,92,1215,1177,culex
train_00118.jpeg,2610,4640,704,1586,1659,2245,albopictus
train_00119.jpeg,4608,2592,2292,111,3897,1525,culex
train_00120.jpeg,2448,3264,1015,1216,1363,1607,albopictus
train_00121.jpeg,3024,4032,638,930,1873,2397,albopictus
train_00122.jpeg,1024,1365,260,383,791,1013,culex
train_00123.jpeg,1498,1367,438,397,751,834,albopictus
train_00124.jpeg,3456,4608,684,2537,2944,3651,japonicus/koreicus
train_00125.jpeg,2336,4160,1097,2042,1439,2350,albopictus
train_00126.jpeg,1024,1368,46,396,895,960,culex
train_00127.jpeg,1152,1123,390,302,666,715,albopictus
train_00128.jpeg,1365,1024,362,308,540,446,culex
train_00129.jpeg,795,749,115,145,682,622,culex
train_00130.jpeg,2048,1024,861,314,1263,735,culex
train_00131.jpeg,1249,823,117,235,766,667,albopictus
train_00132.jpeg,768,1024,375,546,501,676,albopictus
train_00133.jpeg,5616,2808,872,459,3656,2449,culex
train_00134.jpeg,3024,4032,1017,2061,1939,2757,culex
train_00135.jpeg,3024,4032,1188,1426,1943,2290,albopictus
train_00136.jpeg,768,1024,163,310,376,616,culex
train_00137.jpeg,820,1249,389,570,567,792,albopictus
train_00138.jpeg,3000,4000,520,1459,2669,3633,albopictus
train_00139.jpeg,1536,2048,159,392,1005,1339,albopictus
train_00140.jpeg,1800,4000,19,767,1604,2573,culex
